Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,870012240,2,ZHEJ,,RED,MC,12,2008,LFFWBT6A681000732
2017,870012420,1,FORD,,RED,MP,12,2013,1FADP3F26DL236251
2017,870013130,2,HD,,BLU,MC,11,2013,1HD4CR214DC449915
2017,870016050,1,HD,,BLU,MOT,11,2004,1HD1BWB144Y032611
2017,870017400,1,HD,,BLU,MOT,11,2014,1HD1CT314EC426750
2017,870017400,2,HD,,BLU,MOT,11,2017,1HD1BWV13HB019336
2017,870017960,2,HOND,,YEL,MOT,11,2003,JH2PC37063M008041
2017,870017970,2,HOND,,YEL,MOT,11,2003,JH2PC37063M008041
2017,870018380,2,TRUM,,BLK,MOT,11,2012,SMTE05BFXCJ526656
2017,870019310,1,KAWK,,WHI,MOT,11,2013,JKAEX8A12DDA12363
2017,870019310,2,HOND,,BLU/,MOT,11,2007,JH2PC40027M011024
2017,870020350,2,HOND,,BLK,MOT,11,2015,MLHJC611XF5107166
2017,870023200,2,HOND,,BLK,MOT,11,2006,1HFSC18056A001096
2017,870023830,1,SUZI,,BLU,MOT,11,2007,JS1GN7DA272103019
2017,870023990,2,JIAJ,,BLU,MOP,12,2016,LLPVGBAA8G1A20046
2017,870027140,2,HD,,BLK,MOT,11,2009,1HD4LE2439K459237
2017,870027620,2,KAIT,,BLK,MOP,12,2015,LYDM7TKH7F1501099
2017,870028440,2,HOND,,BLK/,MOT,11,2012,JH2PC4005CK500717
2017,870030230,1,YAMA,,ONG,MOT,11,2014,JYARN33E5EA001949
2017,870030800,2,BMW,,BLK,MOT,11,2014,WB1053405EZ309198
2017,870031960,1,HD,,BLK,MOT,11,2016,1HD4LE21XGC413501
2017,870032050,1,SUZI,,BLK,,11,2005,JS1VS56A452102789
2017,870044380,1,HOND,GOLDWING,BLU,MC,11,1986,1HF5C142XGA221875
2017,870044380,2,HARL,,BLU,MC,11,2014,1HD17EN11EB962134
2017,870044590,2,,,RED,MC,11,2017,
2017,870045060,1,YAMA,,GRY,MC,11,2014,JYARN23E5EA017661
2017,870047430,1,KYMC,,BLK,MD,12,2011,RFBB1A041BB522337
2017,870064620,1,BAJA,,RED,,12,2008,LWGTCAP088C006445
2017,870064820,2,TAOI,,BLU/,MCY,11,2014,L9NTEACB8E1182941
2017,870066430,1,HOND,,BLK/,MCY,11,2001,JH2SC44061M105533
2017,870066650,1,SUZI,,GRY,MCY,11,2006,JS1GN7DA062115300
2017,870066800,2,KAWK,,BLK,MCY,11,2006,JKAEXEA146A009027
2017,870066840,2,VICO,,BLU/,,11,2005,5VPCB16D753008207
2017,870067880,2,SUZI,,BLU/,MC,11,2005,JS1GN7CA052113496
2017,870068400,2,HOND,,BLK,MCY,11,2012,JH2RC5302CK400245
2017,870070330,1,APRI,,RED/,MCY,11,2001,ZD4RPD00X1S000060
2017,870071150,2,TAOI,,BLK,MCY,11,2016,L9NTELKEXG1200009
2017,870071430,1,ZLMI,,GRN,OTHR,11,2016,LD6PCK0B2GL101020
2017,870071960,2,KYMC,,RED,MCY,11,2007,RFBD2K2167B110310
2017,870072060,2,YAMA,,RED,MCY,11,2005,JYARJ06E65A028549
2017,870072240,2,YAMA,,BLK/,MCY,11,2012,JYARJ18EXCA009311
2017,870072390,1,YAMA,,BLK,MCY,11,2017,MH3RH15Y9HK002268
2017,870072550,2,HOND,,SIL,MCY,11,2007,JH2RC44027M102409
2017,870073530,1,,,BLK,MCY,11,,
2017,870074220,1,DNGF,,RED,OTHR,12,2016,L2BBJNCB1FB729079
2017,870075290,1,KAWK,,BLK,MCY,11,2007,JKAZRCB137A004286
2017,870075870,1,INDA,,BLK,,11,2016,56KMSB118G3109730
2017,870084950,1,HD,HERITAGE,GLD,MC,11,2005,1HD1BWB1X5Y058874
2017,870087090,1,HD,ROAD GLIDE,RED,MC,11,2010,1HD1KH419AB607521
2017,870087520,1,HOND,INTERSTATE,BLK,MC,11,2011,JH2SC6677BK100294
2017,870087530,1,HD,FATBOY,BLK,MC,11,2001,1HD1BMY1X1Y049694
2017,870087780,2,HD,FLHX,BLU,MC,11,2012,1HD1KBM17CB602530
2017,870087850,2,KAWK,VULCAN 900,RED/GLD,MC,11,2007,JKAVN2D197A010546
2017,870088660,1,HOND,UK,BLK,MC,11,2000,JH2MC240XYK800097
2017,870089170,2,HD,MOTORCYCLE,ONG,MC,11,2012,1HD1LC311CC412091
2017,870089210,1,SUZI,400 SM,YEL,MC,11,2007,JS1SK44AX72101858
2017,870090890,2,YAMA,,BLK,MB,11,2015,JYAVN05E1FA011230
2017,870091940,2,YAMA,,BLU,MB,11,2015,JYAVN05E4FA009648
2017,870092480,1,SUZI,,BLU,MB,11,2006,JS1GR7KA562110908
